Time taken: 0.0009818077087402344
{1: 1, 2: 8, 3: 4, 4: 4, 5: 8, 6: 7, 7: 9, 8: 1, 9: 8, 10: 10}
{1: 1, 2: 8, 3: 4, 4: 4, 5: 8, 6: 7, 7: 9, 8: 1, 9: 3, 10: 10}
{1: 1, 2: 8, 3: 4, 4: 4, 5: 8, 6: 7, 7: 9, 8: 1, 9: 3, 10: 10}
{1: 1, 2: 8, 3: 2, 4: 4, 5: 8, 6: 7, 7: 9, 8: 1, 9: 3, 10: 10}
{1: 1, 2: 8, 3: 2, 4: 2, 5: 8, 6: 7, 7: 9, 8: 1, 9: 3, 10: 10}
{1: 6, 2: 8, 3: 2, 4: 2, 5: 8, 6: 7, 7: 9, 8: 1, 9: 3, 10: 10}
{1: 6, 2: 8, 3: 2, 4: 2, 5: 9, 6: 7, 7: 9, 8: 1, 9: 3, 10: 10}
{1: 6, 2: 8, 3: 2, 4: 2, 5: 9, 6: 7, 7: 9, 8: 1, 9: 3, 10: 10}
{1: 6, 2: 8, 3: 2, 4: 4, 5: 9, 6: 7, 7: 9, 8: 1, 9: 3, 10: 10}
{1: 6, 2: 8, 3: 2, 4: 4, 5: 9, 6: 7, 7: 9, 8: 1, 9: 3, 10: 10}
{1: 6, 2: 8, 3: 2, 4: 4, 5: 9, 6: 7, 7: 9, 8: 1, 9: 3, 10: 5}
{1: 6, 2: 8, 3: 2, 4: 4, 5: 1, 6: 7, 7: 9, 8: 1, 9: 3, 10: 5}
{1: 6, 2: 8, 3: 2, 4: 4, 5: 1, 6: 7, 7: 9, 8: 10, 9: 3, 10: 5}
{1: 6, 2: 8, 3: 2, 4: 4, 5: 1, 6: 7, 7: 9, 8: 6, 9: 3, 10: 5}
{1: 6, 2: 8, 3: 2, 4: 4, 5: 1, 6: 7, 7: 9, 8: 1, 9: 3, 10: 5}
{1: 6, 2: 8, 3: 2, 4: 4, 5: 9, 6: 7, 7: 9, 8: 1, 9: 3, 10: 5}
{1: 6, 2: 8, 3: 2, 4: 4, 5: 9, 6: 7, 7: 10, 8: 1, 9: 3, 10: 5}
