Time taken: 0.012139081954956055
{1: 8, 2: 6, 3: 9, 4: 9, 5: 3, 6: 2, 7: 8, 8: 4, 9: 5, 10: 1}
{1: 8, 2: 6, 3: 9, 4: 9, 5: 3, 6: 2, 7: 10, 8: 4, 9: 5, 10: 1}
{1: 8, 2: 6, 3: 9, 4: 9, 5: 3, 6: 1, 7: 10, 8: 4, 9: 5, 10: 1}
{1: 8, 2: 6, 3: 9, 4: 9, 5: 3, 6: 7, 7: 10, 8: 4, 9: 5, 10: 1}
{1: 8, 2: 6, 3: 9, 4: 9, 5: 3, 6: 7, 7: 10, 8: 4, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 9, 5: 3, 6: 7, 7: 10, 8: 4, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 7, 7: 10, 8: 4, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 7, 7: 10, 8: 4, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 7, 7: 10, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 10, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 4, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 10, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 7, 7: 10, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 10, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 10, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 7, 7: 10, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 10, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 4, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 4, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 10, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 4, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 4, 8: 7, 9: 5, 10: 1}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 10, 7: 4, 8: 7, 9: 5, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 5, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 5, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 10, 7: 4, 8: 7, 9: 5, 10: 3}
