Time taken: 0.16695809364318848
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 66, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 36, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 81, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 42, 39: 53, 40: 52, 41: 67, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 100, 69: 70, 70: 31, 71: 6, 72: 16, 73: 43, 74: 50, 75: 6, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 66, 99: 64, 100: 4}
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 66, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 36, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 81, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 42, 39: 53, 40: 52, 41: 19, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 100, 69: 70, 70: 31, 71: 6, 72: 16, 73: 43, 74: 50, 75: 6, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 66, 99: 64, 100: 4}
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 66, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 36, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 81, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 42, 39: 53, 40: 52, 41: 19, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 100, 69: 70, 70: 31, 71: 6, 72: 16, 73: 43, 74: 50, 75: 6, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 8, 99: 64, 100: 4}
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 66, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 36, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 81, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 42, 39: 53, 40: 52, 41: 19, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 79, 69: 70, 70: 31, 71: 6, 72: 16, 73: 43, 74: 50, 75: 6, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 8, 99: 64, 100: 4}
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 66, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 36, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 81, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 42, 39: 53, 40: 52, 41: 19, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 79, 69: 70, 70: 31, 71: 6, 72: 16, 73: 43, 74: 50, 75: 6, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 8, 99: 24, 100: 4}
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 66, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 36, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 1, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 42, 39: 53, 40: 52, 41: 19, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 79, 69: 70, 70: 31, 71: 6, 72: 16, 73: 43, 74: 50, 75: 6, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 8, 99: 24, 100: 4}
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 66, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 36, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 1, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 42, 39: 53, 40: 52, 41: 19, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 79, 69: 70, 70: 31, 71: 6, 72: 16, 73: 43, 74: 50, 75: 12, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 8, 99: 24, 100: 4}
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 66, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 36, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 1, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 92, 39: 53, 40: 52, 41: 19, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 79, 69: 70, 70: 31, 71: 6, 72: 16, 73: 43, 74: 50, 75: 12, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 8, 99: 24, 100: 4}
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 66, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 36, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 1, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 92, 39: 53, 40: 52, 41: 19, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 79, 69: 70, 70: 31, 71: 10, 72: 16, 73: 43, 74: 50, 75: 12, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 8, 99: 24, 100: 4}
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 23, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 36, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 1, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 92, 39: 53, 40: 52, 41: 19, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 79, 69: 70, 70: 31, 71: 10, 72: 16, 73: 43, 74: 50, 75: 12, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 8, 99: 24, 100: 4}
{1: 90, 2: 86, 3: 98, 4: 37, 5: 61, 6: 94, 7: 23, 8: 36, 9: 2, 10: 85, 11: 98, 12: 73, 13: 49, 14: 83, 15: 59, 16: 93, 17: 18, 18: 94, 19: 81, 20: 38, 21: 55, 22: 56, 23: 63, 24: 47, 25: 6, 26: 98, 27: 94, 28: 49, 29: 30, 30: 26, 31: 36, 32: 1, 33: 58, 34: 6, 35: 62, 36: 35, 37: 52, 38: 92, 39: 53, 40: 52, 41: 19, 42: 21, 43: 90, 44: 63, 45: 27, 46: 29, 47: 71, 48: 13, 49: 43, 50: 71, 51: 89, 52: 5, 53: 52, 54: 77, 55: 72, 56: 90, 57: 69, 58: 80, 59: 45, 60: 86, 61: 9, 62: 33, 63: 98, 64: 28, 65: 72, 66: 7, 67: 25, 68: 79, 69: 70, 70: 31, 71: 10, 72: 16, 73: 43, 74: 50, 75: 12, 76: 95, 77: 77, 78: 73, 79: 15, 80: 54, 81: 87, 82: 97, 83: 33, 84: 41, 85: 49, 86: 42, 87: 61, 88: 36, 89: 27, 90: 22, 91: 62, 92: 96, 93: 73, 94: 62, 95: 66, 96: 55, 97: 82, 98: 8, 99: 24, 100: 4}
